,0,1,2,3
295,How to understand your inner potential,2952,4,https://www.ted.com/playlists/407/how_to_understand_your_inner_p
296,Talks to help you pick your major ,9738,12,https://www.ted.com/playlists/406/talks_to_help_you_pick_your_ma
297,The strangeness of everyday life,8993,9,https://www.ted.com/playlists/405/the_strangeness_of_everyday_li
298,How masculinity is evolving,5334,6,https://www.ted.com/playlists/404/how_masculinity_is_evolving
299,Technology designed by nature,8076,10,https://www.ted.com/playlists/403/technology_designed_by_nature
300,Pop culture obsessions,5524,8,https://www.ted.com/playlists/402/pop_culture_obsessions
301,Math in unexpected places,6989,9,https://www.ted.com/playlists/401/math_in_unexpected_places
302,Talks for podcast lovers,9230,9,https://www.ted.com/playlists/399/talks_for_podcast_lovers
303,Reconnect with nature!,8464,10,https://www.ted.com/playlists/398/reconnect_with_nature
304,The power of social media,6395,8,https://www.ted.com/playlists/397/the_power_of_social_media
305,Music around the world,10020,13,https://www.ted.com/playlists/396/music_around_the_world
306,Rebel designers,4467,4,https://www.ted.com/playlists/395/rebel_designers
307,What is home?,4819,6,https://www.ted.com/playlists/394/what_is_home
308,Talks for theater geeks,9380,9,https://www.ted.com/playlists/393/talks_for_theater_geeks
309,Tech that can hack your brain,5424,6,https://www.ted.com/playlists/392/tech_that_can_hack_your_brain
310,The lights and sounds of the universe,3985,6,https://www.ted.com/playlists/391/the_lights_and_sounds_of_the_u
311,How to turn the political conversation around ,6072,9,https://www.ted.com/playlists/390/how_to_turn_the_political_conv
312,Sharks!,4057,5,https://www.ted.com/playlists/389/sharks
313,Amazing reveals,8173,10,https://www.ted.com/playlists/388/10_years_of_ted_talks_amazing
314,Radical rethinking,9347,10,https://www.ted.com/playlists/387/10_years_of_ted_talks_radical
315,Powerful stories,8336,10,https://www.ted.com/playlists/386/10_years_of_ted_talks_powerfu
316,Revolutionizing reality,6862,10,https://www.ted.com/playlists/385/10_years_of_ted_talks
317,How your brain constructs reality,7089,8,https://www.ted.com/playlists/384/how_your_brain_constructs_real
318,Why you should take time to play,7431,9,https://www.ted.com/playlists/383/the_importance_of_play
319,What your data reveals about you,6899,10,https://www.ted.com/playlists/374/what_your_data_reveals_about_y
320,How visual effects bring movies to life,4332,6,https://www.ted.com/playlists/373/how_visual_effects_bring_movie
321,Designing for disability,8964,11,https://www.ted.com/playlists/372/designing_for_disability
322,Top TED Talks of 2016,13632,17,https://www.ted.com/playlists/370/top_ted_talks_of_2016
323,The mysteries of the deep sea,3459,5,https://www.ted.com/playlists/371/the_mysteries_of_the_deep_sea
324,Code: The next universal language,5750,7,https://www.ted.com/playlists/369/code_the_next_universal_langu
325,Reimagining borders,7646,9,https://www.ted.com/playlists/368/reimagining_borders
326,How to connect with others,5599,7,https://www.ted.com/playlists/367/when_you_re_having_a_hard_time
327,The economy of trust,6445,7,https://www.ted.com/playlists/366/the_economy_of_trust
328,Internet origin stories,7423,8,https://www.ted.com/playlists/365/internet_origin_stories
329,Plug into your power!,6060,8,https://www.ted.com/playlists/364/plug_into_your_power
330,How music affects us,10746,9,https://www.ted.com/playlists/363/how_music_affects_us
331,For those who want to break out of their shell,5490,8,https://www.ted.com/playlists/362/for_those_who_want_to_break_ou
332,How does DNA work?,7068,7,https://www.ted.com/playlists/357/how_does_dna_work
333,Extreme sports,6297,8,https://www.ted.com/playlists/359/extreme_sports
334,Bizarre science,3917,5,https://www.ted.com/playlists/358/bizarre_science
335,The secret lives of plants,8804,9,https://www.ted.com/playlists/356/the_secret_lives_of_plants
336,Talks to watch during breakfast,3941,7,https://www.ted.com/playlists/355/talks_to_watch_during_breakfas
337,Who are you?,6572,8,https://www.ted.com/playlists/354/who_are_you
338,Talks to help practice patience,6228,8,https://www.ted.com/playlists/353/talks_to_help_practice_patienc
339,Talks to watch before a job interview,5161,6,https://www.ted.com/playlists/352/talks_to_watch_before_a_job_in
340,The issues at stake in the US election of 2016,12620,13,https://www.ted.com/playlists/351/the_issues_at_stake_in_the_us
341,Talks for when you want to start a business,7393,10,https://www.ted.com/playlists/350/talks_for_when_you_want_to_sta
342,Talks for when you're just done with Earth,6070,8,https://www.ted.com/playlists/349/talks_for_when_you_re_just_don
343,Secret realities,9113,10,https://www.ted.com/playlists/348/secret_realities
344,Talks to inspire projects with kids,4247,8,https://www.ted.com/playlists/347/talks_to_inspire_projects_with_1
345,The power of fiction,8613,10,https://www.ted.com/playlists/346/the_power_of_fiction_1
346,The transformative power of street art,3424,6,https://www.ted.com/playlists/343/street_art
347,Talks on water,4030,7,https://www.ted.com/playlists/342/talks_on_water
348,Why we need bees,3542,5,https://www.ted.com/playlists/341/why_we_need_bees
349,Talks that inspired TED Books,5025,6,https://www.ted.com/playlists/340/talks_that_inspired_ted_books
350,Talks on ancient languages,5168,7,https://www.ted.com/playlists/339/talks_on_ancient_languages
351,Talks on modern feminism,8706,10,https://www.ted.com/playlists/338/talks_on_feminism
352,Talks for the thoughtful traveler,9276,11,https://www.ted.com/playlists/337/talks_for_the_thoughtful_trave
353,How we study space,11108,17,https://www.ted.com/playlists/336/how_we_study_space
354,Talks for jazz lovers,5340,8,https://www.ted.com/playlists/335/talks_for_jazz_lovers
355,Apocalypse survival guide,9508,10,https://www.ted.com/playlists/334/apocalypse_survival_guide
356,Talks for the hopeless romantic,6685,8,https://www.ted.com/playlists/333/talks_for_the_hopeless_romanti
357,Lasers!,3778,5,https://www.ted.com/playlists/332/lasers
358,Talks for when you feel like you’re not enough,8809,11,https://www.ted.com/playlists/331/talks_for_when_you_feel_like_y
359,Survivor’s wisdom,10849,13,https://www.ted.com/playlists/330/survivor_s_wisdom
360,"New tech, new ethics",9244,9,https://www.ted.com/playlists/329/new_tech_new_morals
361,Talks on human resources,8431,10,https://www.ted.com/playlists/328/talks_on_human_resources
362,Art made of unusual stuff,3971,8,https://www.ted.com/playlists/327/art_made_of_unusual_stuff
363,How to revive a city,6971,8,https://www.ted.com/playlists/326/how_to_revive_a_city
364,Talks for cat lovers,3727,4,https://www.ted.com/playlists/325/talks_for_cat_lovers
365,The Official TED Talk Guide Playlist,53211,53,https://www.ted.com/playlists/324/the_official_ted_talk_guide_pl
366,The influence of algorithms,6714,7,https://www.ted.com/playlists/323/the_influence_of_algorithms
367,The power of the individual voice,10187,10,https://www.ted.com/playlists/322/the_power_of_the_individual_vo
368,Talks to form better habits,5861,8,https://www.ted.com/playlists/321/talks_to_form_better_habits
369,The most popular talks of 2015,12578,15,https://www.ted.com/playlists/320/the_most_popular_talks_of_2015_1
370,Fascinating history,10430,12,https://www.ted.com/playlists/318/fascinating_history
371,Talks to help you focus on what really matters,6727,8,https://www.ted.com/playlists/317/talks_to_help_you_focus_on_wha
372,Talks for your inner child,7132,9,https://www.ted.com/playlists/316/talks_for_your_inner_child
373,Talks to help you manage stress,3888,5,https://www.ted.com/playlists/315/talks_to_help_you_manage_stres
374,Talks to watch with the entire family,6828,10,https://www.ted.com/playlists/314/talks_to_watch_with_the_entire
375,Talks to help you find your purpose,4433,7,https://www.ted.com/playlists/313/talks_to_help_you_find_your_pu
376,Weird facts about the human body,11633,13,https://www.ted.com/playlists/312/weird_facts_about_the_human_bo
377,Time warp,5447,7,https://www.ted.com/playlists/311/time_warp
378,Artificial intelligence,8431,9,https://www.ted.com/playlists/310/talks_on_artificial_intelligen
379,How to make love last,4534,5,https://www.ted.com/playlists/309/talks_on_how_to_make_love_last
380,Talks on how to love work again,5773,7,https://www.ted.com/playlists/308/talks_on_how_to_love_work_agai
381,On coming out,5982,8,https://www.ted.com/playlists/307/on_coming_out
382,How to spend your money,5808,7,https://www.ted.com/playlists/306/how_to_spend_your_money
383,All about the heart,3779,5,https://www.ted.com/playlists/305/all_about_the_heart
384,Speakers you secretly wish were your parents,9123,10,https://www.ted.com/playlists/304/speakers_you_secretly_wish_wer
385,How to learn from mistakes,6301,7,https://www.ted.com/playlists/303/how_to_learn_from_mistakes
386,For classical music lovers,9921,10,https://www.ted.com/playlists/302/for_classical_music_lovers
387,Why we do the things we do,11888,10,https://www.ted.com/playlists/301/why_we_do_the_things_we_do
388,The love of lifelong learning,5041,5,https://www.ted.com/playlists/300/the_love_of_lifelong_learning
389,The importance of self-care,7713,9,https://www.ted.com/playlists/299/the_importance_of_self_care
390,What makes businesses work?,7174,9,https://www.ted.com/playlists/298/what_makes_businesses_work
391,Tough talks that will open your eyes,7219,8,https://www.ted.com/playlists/297/tough_talks_that_will_open_you
392,Let's end the silence around suicide,3528,4,https://www.ted.com/playlists/296/let_s_end_the_silence_around_s
393,Super nerdy talks about sports,2172,3,https://www.ted.com/playlists/295/super_nerdy_talks_about_sports
394,Sex ed for adults,5691,7,https://www.ted.com/playlists/293/sex_ed_for_adults
395,Check your assumptions,10360,14,https://www.ted.com/playlists/292/check_your_assumptions
396,Talks for when you wish you could go back to college,10186,12,https://www.ted.com/playlists/291/12_ted_talks_for_when_you_wish
397,Talks to help you understand what's really going on in the world,11491,14,https://www.ted.com/playlists/290/talks_for_when_you_realize_you
398,The genius of babies,5142,5,https://www.ted.com/playlists/289/the_genius_of_babies
399,Stunning performances that'll make you want to dance,5523,7,https://www.ted.com/playlists/288/7_stunning_performances_that_w
400,Overcoming depression,4678,5,https://www.ted.com/playlists/287/4_ted_talks_on_overcoming_depr
401,Speakers with dream jobs,7805,11,https://www.ted.com/playlists/286/11_ted_talks_by_speakers_with
402,Talks to watch when the Internet is making you mad,5112,7,https://www.ted.com/playlists/283/talks_to_watch_when_the_intern
403,Talks for when you feel like no one appreciates you,4259,7,https://www.ted.com/playlists/282/talks_for_when_you_feel_like_n
404,Talks for when you want to look at pretty things,7019,11,https://www.ted.com/playlists/281/talks_for_when_you_want_to_loo
405,Talks by living legends,12444,13,https://www.ted.com/playlists/280/12_ted_talks_by_living_legends
406,Talks full of weird facts about sex,4401,6,https://www.ted.com/playlists/279/5_talks_full_of_weird_facts_ab
407,Talks to watch when you have a big decision to make,3855,5,https://www.ted.com/playlists/278/talks_to_watch_when_you_have_a
408,Young inventors who are changing how we stay healthy,3401,5,https://www.ted.com/playlists/277/young_inventors_who_are_changi
409,Talks to watch when you want to let go of regret,5712,5,https://www.ted.com/playlists/276/ted_talks_to_watch_when_you_wa
410,Talks for dog lovers,4707,6,https://www.ted.com/playlists/275/ted_talks_for_dog_lovers
411,Talks on how games can improve your life,6919,9,https://www.ted.com/playlists/274/talks_on_how_games_can_improve
412,Talks for when you wish you had time to read,6251,7,https://www.ted.com/playlists/273/talks_for_when_you_wish_you_ha
413,Understanding world economics,8243,9,https://www.ted.com/playlists/272/understanding_world_economics
414,Talks to watch when it's too hot to function,5195,7,https://www.ted.com/playlists/271/talks_to_watch_when_it_s_too_h
415,Small ways to change the world,6678,10,https://www.ted.com/playlists/270/small_ways_to_change_the_world
416,True crime,5606,7,https://www.ted.com/playlists/269/true_crime
417,Claim your independence,6060,8,https://www.ted.com/playlists/268/talks_to_help_you_claim_your_i
418,Talks to remind you that life goes on,4734,7,https://www.ted.com/playlists/267/talks_to_remind_you_that_life
419,Talks for band geeks,9603,11,https://www.ted.com/playlists/265/talks_for_former_band_geeks
420,Love is love,7142,7,https://www.ted.com/playlists/264/lgbtq_pride
421,Talks to watch when you need five minutes of peace,2247,9,https://www.ted.com/playlists/263/talks_to_watch_when_you_need_f
422,Talks for understanding the drug trade,5381,5,https://www.ted.com/playlists/262/talks_for_understanding_the_dr
423,Talks that celebrate sweet dads,9449,10,https://www.ted.com/playlists/261/talks_that_celebrate_sweet_dad
424,Talks to watch when your family is driving you nuts,8460,8,https://www.ted.com/playlists/260/talks_to_watch_when_your_famil
425,Talks to give you a confidence boost,6531,9,https://www.ted.com/playlists/259/talks_to_give_you_a_confidence
426,Talks for binge-watching,8419,10,https://www.ted.com/playlists/258/talks_for_binge_watching
427,Talks that prove you already live in the future,7596,10,https://www.ted.com/playlists/257/talks_that_prove_you_already_l
428,New ways to think about beauty,5935,9,https://www.ted.com/playlists/256/new_ways_to_think_about_beauty
429,Talks to inspire smart conversation,11585,12,https://www.ted.com/playlists/255/talks_to_inspire_smart_convers
430,Talks to watch when someone just stomped on your heart,5562,6,https://www.ted.com/playlists/254/talks_to_watch_when_someone_ju
431,Talks by brilliant women in STEM,9013,11,https://www.ted.com/playlists/253/11_ted_talks_by_brilliant_wome
432,Talks on remembering those we've lost,3353,7,https://www.ted.com/playlists/252/talks_on_remembering_those_we
433,Talks for people who hated math in high school,4163,6,https://www.ted.com/playlists/251/talks_for_people_who_hated_mat
434,Talks to help you understand racism in America,7067,9,https://www.ted.com/playlists/250/talks_to_help_you_understand_r
435,Talks for when you need a reminder that you're not alone,4876,7,https://www.ted.com/playlists/249/talks_for_when_you_need_a_remi
436,Innovations that made expensive things cheap,5016,9,https://www.ted.com/playlists/248/innovations_that_made_expensiv
437,Talks by fierce moms,9534,11,https://www.ted.com/playlists/247/talks_by_fierce_moms
438,Life is beautiful,10380,10,https://www.ted.com/playlists/246/life_is_beautiful
439,Talks for when you feel totally burned out,7214,10,https://www.ted.com/playlists/245/talks_for_when_you_feel_totall
440,The beauty of friendship,6846,8,https://www.ted.com/playlists/244/on_friendship
441,As seen on 60 Minutes,7114,6,https://www.ted.com/playlists/243/as_seen_on_60_minutes
442,Top 10 Talks by TED Fellows,4779,10,https://www.ted.com/playlists/242/top_10_talks_by_ted_fellows
443,New ways to think about death,6442,10,https://www.ted.com/playlists/241/new_ways_to_think_about_death
444,Talks to save you time at work — so you can focus on what you love,3301,6,https://www.ted.com/playlists/240/talks_to_save_you_time_at_work
445,The most jaw-dropping TED Talks,9437,12,https://www.ted.com/playlists/239/the_most_jaw_dropping_ted_talk
446,Talks for television lovers,5655,6,https://www.ted.com/playlists/238/6_talks_for_television_lovers
447,Talks to watch when you're stuck in a rut,10762,13,https://www.ted.com/playlists/237/11_talks_to_watch_when_you_re
448,Truth and dare,5630,9,https://www.ted.com/playlists/236/truth_and_dare
449,The funniest TED Talks,11016,13,https://www.ted.com/playlists/235/the_funniest_ted_talks
450,Talks to help you shake off rejection,7996,10,https://www.ted.com/playlists/234/talks_to_help_you_shake_off_re
451,Words to live by,9658,11,https://www.ted.com/playlists/233/words_to_live_by
452,Talks to help you forget that you're doing chores,4962,5,https://www.ted.com/playlists/232/talks_to_help_you_forget_that
453,The weird science of love,5325,5,https://www.ted.com/playlists/231/the_weird_science_of_love
454,Talks to celebrate Black History Month,17017,20,https://www.ted.com/playlists/230/10_great_talks_to_celebrate_bl
455,The most commented-on TED Talks,11948,10,https://www.ted.com/playlists/229/the_10_ted_talks_you_ve_commen
456,How language changes over time,5806,7,https://www.ted.com/playlists/228/how_language_changes_over_time
457,Talks to make you feel good about getting older,4428,7,https://www.ted.com/playlists/227/talks_to_make_you_feel_good_ab
458,Before public speaking…,5571,9,https://www.ted.com/playlists/226/before_public_speaking
459,Talks to watch when you don't know what to do with your life,7394,10,https://www.ted.com/playlists/225/talks_to_get_you_through_your
460,Grow your own stuff,3071,7,https://www.ted.com/playlists/224/grow_your_own_stuff
461,Talks to inspire you to go to bed and get a good night's sleep,3372,5,https://www.ted.com/playlists/223/talks_to_inspire_you_to_go_to
462,The truth about lying,5488,6,https://www.ted.com/playlists/222/5_talks_on_the_truth_about_lyi
463,Short talks for parents who are short on time but starved for intellectual stimulation,2674,10,https://www.ted.com/playlists/221/short_talks_for_parents_who_ar
464,Talks to help you find the right job,8066,10,https://www.ted.com/playlists/220/7_talks_to_help_you_find_the_r
465,10 talks you won't be able to stop thinking about,8974,10,https://www.ted.com/playlists/219/10_talks_you_won_t_be_able_to
466,Get in shape (for real this time) ,4191,6,https://www.ted.com/playlists/218/get_in_shape_for_real_this_ti
467,Talks to inspire New Year's Resolutions,10662,12,https://www.ted.com/playlists/217/talks_to_inspire_new_year_s_re
468,Talks to restore your faith in humanity,11214,12,https://www.ted.com/playlists/216/talks_to_restore_your_faith_in_1
469,The most popular talks of 2014,15111,20,https://www.ted.com/playlists/215/the_most_popular_talks_of_2014
470,On generosity,6349,8,https://www.ted.com/playlists/214/on_generosity
471,How (and why) to forgive,6179,7,https://www.ted.com/playlists/213/how_and_why_to_forgive
472,Unsolved Mysteries,7501,8,https://www.ted.com/playlists/212/unsolved_mysteries
473,The art of meaningful conversation ,6163,8,https://www.ted.com/playlists/211/the_art_of_meaningful_conversa
474,Talks to watch when every conceivable bad thing has just happened to you,6846,10,https://www.ted.com/playlists/210/talks_to_watch_when_every_conc
475,Counterintuitive career advice,10059,13,https://www.ted.com/playlists/209/counterintuitive_career_advice
476,11 ideas for ending HIV/AIDS,8017,11,https://www.ted.com/playlists/208/10_ideas_for_ending_hiv_aids
477,Talks to watch instead of shopping,9857,12,https://www.ted.com/playlists/207/talks_to_watch_instead_of_shop
478,Give thanks,5026,7,https://www.ted.com/playlists/206/give_thanks
479,11 trippy TED Talks,6256,11,https://www.ted.com/playlists/205/9_trippy_ted_talks
480,Slow down! Enjoy life.,5623,7,https://www.ted.com/playlists/204/slow_down_enjoy_life
481,The best mustaches on TED.com,8376,11,https://www.ted.com/playlists/203/the_best_mustaches_on_ted_com
482,Talks that just might save your relationship,7760,8,https://www.ted.com/playlists/202/talks_that_just_might_save_you
483,Art made of data,3986,5,https://www.ted.com/playlists/201/art_from_data
484,Talks to make your commute go faster,6546,7,https://www.ted.com/playlists/200/talks_to_make_your_commute_go
485,Take charge of your health care,8299,10,https://www.ted.com/playlists/199/take_charge_of_your_healthcare
486,"Spooky, creepy talks for Halloween",7787,10,https://www.ted.com/playlists/198/spooky_creepy_talks_for_hallo
487,Talks to restore your faith in politics,7718,9,https://www.ted.com/playlists/197/talks_to_restore_your_faith_in
488,The complexity of memory,6777,7,https://www.ted.com/playlists/196/the_complexity_of_memory
489,7 talks with insights on breast cancer,7013,7,https://www.ted.com/playlists/195/7_talks_with_insights_on_breas
490,12 talks from authors,11098,12,https://www.ted.com/playlists/194/10_talks_from_authors
491,The importance of educating girls,4390,5,https://www.ted.com/playlists/193/the_importance_of_educating_gi
492,10 talks by women that everyone should watch,9534,10,https://www.ted.com/playlists/192/10_talks_by_women_that_everyon
493,Stand up to bullying,5117,7,https://www.ted.com/playlists/191/stand_up_to_bullying
494,The perfect lunchtime talks,3832,6,https://www.ted.com/playlists/190/the_perfect_lunchtime_talks
495,Math talks to blow your mind,8518,10,https://www.ted.com/playlists/189/math_talks_to_blow_your_mind
496,Insights on terrorism,8511,10,https://www.ted.com/playlists/188/insights_on_terrorism
497,Talks from inspiring teachers,6574,10,https://www.ted.com/playlists/182/talks_from_inspiring_teachers
498,The most popular science talks,16114,15,https://www.ted.com/playlists/181/the_most_popular_science_talks
499,The 10 most popular TEDx talks,8263,10,https://www.ted.com/playlists/180/the_10_most_popular_tedx_talks
500,Talks to take you back to school,5710,7,https://www.ted.com/playlists/179/talks_to_take_you_back_to_scho
501,Smart kids’ life advice,4250,7,https://www.ted.com/playlists/177/smart_kids_life_advice_1
502,The struggle of mental health,9442,12,https://www.ted.com/playlists/175/the_struggle_of_mental_health
503,Surprisingly viral TED Talks,7027,10,https://www.ted.com/playlists/174/surprisingly_viral_ted_talks
504,Fascinating psych experiments,8872,9,https://www.ted.com/playlists/173/fascinating_psych_experiments
505,Talks to give you wanderlust,7181,9,https://www.ted.com/playlists/172/talks_to_give_you_wanderlust
506,The most popular talks of all time,23928,25,https://www.ted.com/playlists/171/the_most_popular_talks_of_all
507,Kickstart your creativity,4980,6,https://www.ted.com/playlists/170/kickstart_your_creativity
508,The first TED Talks ever,5733,5,https://www.ted.com/playlists/168/the_first_6_ted_talks_ever
509,Charming talks for a boost on a bad day,3040,5,https://www.ted.com/playlists/167/charming_talks_for_a_boost_on
510,Why we need brave journalists,6485,9,https://www.ted.com/playlists/166/why_we_need_brave_journalists
511,Life in—and after—prison,5589,9,https://www.ted.com/playlists/165/life_in_and_after_prison
512,How we make choices,9109,8,https://www.ted.com/playlists/164/how_we_make_choices
513,7 talks to make you love science,5990,7,https://www.ted.com/playlists/163/7_talks_to_make_you_love_scien
514,Toys!,7754,12,https://www.ted.com/playlists/162/toys
515,TED in 3 minutes,2624,13,https://www.ted.com/playlists/81/ted_in_3_minutes
516,A trip to the museum,5630,7,https://www.ted.com/playlists/161/a_trip_to_the_museum
517,Graduation…now what?,3781,5,https://www.ted.com/playlists/158/graduation_now_what
518,The Remix,6755,9,https://www.ted.com/playlists/156/the_remix
519,How do you solve a problem like the climate crisis?,17649,18,https://www.ted.com/playlists/154/how_do_you_solve_a_problem_lik
520,Calling all sports fans,11728,13,https://www.ted.com/playlists/155/calling_all_sports_fans
521,The autism spectrum,9401,11,https://www.ted.com/playlists/153/the_autism_spectrum
522,What is success?,7520,11,https://www.ted.com/playlists/152/what_is_success
523,"Earth, appreciated",11477,12,https://www.ted.com/playlists/151/earth_appreciated
524,South America!,8294,10,https://www.ted.com/playlists/149/south_america
525,Depths of corruption,9790,11,https://www.ted.com/playlists/148/depths_of_corruption
526,Craftsmanship,7521,11,https://www.ted.com/playlists/146/craftsmanship
527,30 years of TED,21001,16,https://www.ted.com/playlists/147/30_years_of_ted
528,Should we redesign humans?,9846,12,https://www.ted.com/playlists/144/should_we_redesign_humans
529,In the mood for love,9226,11,https://www.ted.com/playlists/143/in_the_mood_for_love
530,MOOCs 101,6504,7,https://www.ted.com/playlists/141/moocs_101
531,How to be a great leader,10498,12,https://www.ted.com/playlists/140/how_leaders_inspire
532,"Social Good, Inc.",9529,11,https://www.ted.com/playlists/139/social_good_inc
533,Adventures in mapping,8927,12,https://www.ted.com/playlists/138/adventures_in_mapping
534,Will drones save us or destroy us?,14165,15,https://www.ted.com/playlists/135/will_drones_save_us_or_destroy
535,The dark side of data,11971,14,https://www.ted.com/playlists/130/the_dark_side_of_data
536,Talks by brilliant kids and teens,8994,14,https://www.ted.com/playlists/129/ted_under_20
537,The world of tiny things,10246,12,https://www.ted.com/playlists/128/the_world_of_tiny_things
538,Plantastic!,8374,12,https://www.ted.com/playlists/118/plantastic
539,The big picture,15530,15,https://www.ted.com/playlists/126/the_big_picture
540,TV Special: TED Talks Education,4694,8,https://www.ted.com/playlists/125/tv_special_ted_talks_educatio
541,Talks for people who love words,8897,12,https://www.ted.com/playlists/117/words_words_words
542,GROSS!,7091,9,https://www.ted.com/playlists/93/gross
543,Talks to help you be a better listener,8580,9,https://www.ted.com/playlists/92/listen_up
544,Everything you thought ... was wrong,11537,12,https://www.ted.com/playlists/91/everything_you_thought_was
545,Talks to watch with kids,7992,11,https://www.ted.com/playlists/86/talks_to_watch_with_kids
546,Re-imagining school,10182,10,https://www.ted.com/playlists/24/re_imagining_school
547,What does the future look like?,12352,13,https://www.ted.com/playlists/85/what_does_the_future_look_like
548,That's absurd!,6404,8,https://www.ted.com/playlists/88/that_s_absurd
549,Spoken-word fireworks,7426,9,https://www.ted.com/playlists/87/spoken_word_fireworks
550,Ancient clues,6589,6,https://www.ted.com/playlists/84/ancient_clues
551,Are we alone in the universe?,7697,9,https://www.ted.com/playlists/82/are_we_alone_in_the_universe
552,"Maestros, if you please ... !",12362,10,https://www.ted.com/playlists/79/maestros_if_you_please
553,Design of useful things,9458,13,https://www.ted.com/playlists/80/design_of_useful_things
554,What's wrong with what we eat?,7417,9,https://www.ted.com/playlists/75/what_s_wrong_with_what_we_eat
555,Our brains: predictably irrational,11979,12,https://www.ted.com/playlists/74/our_brains_predictably_irrati
556,11 must-see TED Talks,11966,11,https://www.ted.com/playlists/77/11_must_see_ted_talks
557,Photojournalism up close,10121,10,https://www.ted.com/playlists/72/close_up_and_personal
558,"Climate change: Oh, it's real.",9529,10,https://www.ted.com/playlists/78/climate_change_oh_it_s_real
559,What doctors worry about,13890,14,https://www.ted.com/playlists/70/what_doctors_worry_about
560,Dinos!,8920,9,https://www.ted.com/playlists/68/dinos
561,War stories,13399,14,https://www.ted.com/playlists/69/war_stories
562,The eternal search to prolong life,8818,9,https://www.ted.com/playlists/64/might_you_live_a_great_deal_lo
563,The quest to end poverty,11763,12,https://www.ted.com/playlists/67/the_quest_to_end_poverty
564,Personal tales from the edge of life,13988,14,https://www.ted.com/playlists/65/personal_tales_from_the_edge_o
565,The power of film,13126,13,https://www.ted.com/playlists/66/the_power_of_film
566,How to tell a story,6660,6,https://www.ted.com/playlists/62/how_to_tell_a_story
567,How we're fighting cancer,7969,8,https://www.ted.com/playlists/63/a_cure_for_cancer
568,Talks for foodies,7886,9,https://www.ted.com/playlists/55/talks_for_foodies
569,The end of oil?,12182,13,https://www.ted.com/playlists/58/the_end_of_oil
570,My favorite animal,7552,8,https://www.ted.com/playlists/59/animals_that_amaze
571,Work smarter,7575,11,https://www.ted.com/playlists/60/work_smarter
572,Objects of desire,9946,12,https://www.ted.com/playlists/61/objects_of_desire
573,To boldly go ...,9520,11,https://www.ted.com/playlists/27/to_boldly_go
574,Sustainability by design,7796,12,https://www.ted.com/playlists/28/sustainability_by_design
575,Our future in cities,15601,17,https://www.ted.com/playlists/29/our_future_in_cities
576,Natural wonder,7556,9,https://www.ted.com/playlists/30/natural_wonder
577,"Are you there, God?",11952,11,https://www.ted.com/playlists/14/are_you_there_god
578,The pursuit of justice,9407,10,https://www.ted.com/playlists/15/the_pursuit_of_justice
579,"Way, way out there",15698,17,https://www.ted.com/playlists/16/way_way_out_there
580,"Live music, onstage at TED",7593,10,https://www.ted.com/playlists/18/virtuosos
581,Did you know?,6031,14,https://www.ted.com/playlists/19/did_you_know
582,Where do ideas come from?,8329,9,https://www.ted.com/playlists/20/where_do_ideas_come_from
583,Media with meaning,8492,12,https://www.ted.com/playlists/21/media_with_meaning
584,The road to peace,8643,10,https://www.ted.com/playlists/22/the_road_to_peace
585,The future of medicine,9637,12,https://www.ted.com/playlists/23/the_future_of_medicine
586,Architectural inspiration,9955,9,https://www.ted.com/playlists/25/architectural_inspiration
587,The artist is in.,10328,14,https://www.ted.com/playlists/3/the_artist_is_in
588,What makes you happy?,12806,14,https://www.ted.com/playlists/4/what_makes_you_happy
589,Insects are awesome!,9183,11,https://www.ted.com/playlists/5/insects_are_awesome
590,Sex: Can we talk?,7884,9,https://www.ted.com/playlists/6/sex_can_we_talk
591,Ocean wonders,11289,13,https://www.ted.com/playlists/7/ocean_wonders
592,All kinds of minds,7920,9,https://www.ted.com/playlists/9/all_kinds_of_minds
593,The creative spark,7601,7,https://www.ted.com/playlists/11/the_creative_spark
594,Freedom rising,9661,11,https://www.ted.com/playlists/12/freedom_rising
595,"Open-source, open world",9441,10,https://www.ted.com/playlists/13/open_source_open_world
596,How does my brain work?,12513,15,https://www.ted.com/playlists/1/how_does_my_brain_work
597,Tech breakthrough,9131,14,https://www.ted.com/playlists/2/tech_breakthrough
